municipio,codigo_ibge,mesorregiao,populacao,renda_per_capita,lat,lon,tem_museu,tem_teatro_sala_espetaculo,tem_cinema,tem_biblioteca,n_equipamentos
Tabuleiro do Norte,2313104,Jaguaribe,30652,895.75,-5.2438038699,-38.1297371282,True,True,False,True,3
Milagres,2308302,Sul Cearense,25900,740.97,-7.3104277968,-38.9431567662,False,False,False,True,1
Novo Oriente,2309409,Sertões Cearenses,27545,771.68,-5.5338648355,-40.7747672682,False,True,False,True,2
Jardim,2307106,Sul Cearense,27411,726.42,-7.5855364657,-39.2841644574,True,False,False,True,2
Campos Sales,2302701,Sul Cearense,25135,748.63,-7.0733835,-40.3790031302,True,True,False,True,3
Senador Pompeu,2312700,Sertões Cearenses,24266,781.3,-5.5893437521,-39.3753253308,False,False,False,True,1
Redenção,2311603,Norte Cearense,27214,670.02,-4.2229581502,-38.7295707506,True,True,False,True,3
Caririaçu,2303204,Sul Cearense,26320,627.49,-7.041528,-39.2843720296,True,True,False,True,3
Independência,2305605,Sertões Cearenses,24024,705.5,-5.3980281003,-40.3093482606,True,False,False,True,2
Tamboril,2313203,Sertões Cearenses,24815,688.17,-4.8339285832,-40.3190685133,False,False,False,True,1
Aracoiaba,2301208,Norte Cearense,25553,718.73,-4.370393807,-38.8094409692,True,False,False,True,2
Marco,2307809,Noroeste Cearense,25799,584.74,-3.120707025,-40.1516436427,True,False,False,True,2
Aurora,2301703,Sul Cearense,23714,714.57,-6.940391832,-38.9769908769,True,False,False,True,2
Cedro,2303808,Centro-Sul Cearense,22344,857.12,-6.6049605,-39.059743148,True,False,False,True,2
Guaiúba,2304954,Metropolitana de Fortaleza,24325,601.44,-4.0402435005,-38.6344347805,False,True,False,True,2
Ocara,2309458,Norte Cearense,24493,714.07,-4.4850665445,-38.5985379828,False,False,False,True,1
Ibiapina,2305308,Noroeste Cearense,23965,692.97,-3.9361312622,-40.8939290198,True,False,False,True,2
Jucás,2307403,Centro-Sul Cearense,23922,694.23,-6.5225492731,-39.5267762434,False,False,False,True,1
Cruz,2304251,Noroeste Cearense,29761,834.25,-2.9167080504,-40.1712787065,True,False,False,True,2
Assaré,2301604,Sul Cearense,21697,720.44,-6.8726071122,-39.8712747475,True,True,False,True,3
Irauçuba,2306108,Noroeste Cearense,23915,584.86,-3.7454188017,-39.7922381151,False,False,False,True,1
Coreaú,2304004,Noroeste Cearense,20953,656.99,-3.5494878611,-40.6569510758,False,False,False,True,1
Forquilha,2304350,Noroeste Cearense,24173,727.41,-3.7989577431,-40.2587689981,False,False,False,True,1
Barro,2302008,Sul Cearense,19381,729.66,-7.1682087267,-38.7798806461,True,False,False,True,2
Orós,2309508,Centro-Sul Cearense,19675,673.92,-6.2427987837,-38.9135959845,True,False,False,True,2
Morrinhos,2308906,Noroeste Cearense,22753,667.16,-3.2288305343,-40.1241788929,False,False,False,True,1
Araripe,2301307,Sul Cearense,19783,545.54,-7.2061837892,-40.1374458094,False,True,False,True,2
Caridade,2303006,Norte Cearense,16377,655.3,-4.2249600008,-39.193032915,True,False,False,True,2
Quiterianópolis,2311264,Sertões Cearenses,20213,677.69,-5.8470092293,-40.7044888468,False,False,False,True,1
Uruburetama,2313807,Norte Cearense,20189,661.25,-3.6230168337,-39.5081780698,False,True,False,True,2
Barreira,2301950,Norte Cearense,22392,713.88,-4.2887622668,-38.6385018296,True,False,False,True,2
Reriutaba,2311702,Noroeste Cearense,18606,724.54,-4.1415676008,-40.5846120037,False,False,False,True,1
Quixeré,2311504,Jaguaribe,20874,900.07,-5.0687289544,-37.9905222251,False,False,False,True,1
Hidrolândia,2305209,Noroeste Cearense,17855,659.36,-4.4079994443,-40.4018171244,True,False,False,True,2
Farias Brito,2304301,Sul Cearense,18217,691.36,-6.9271099806,-39.5708350212,True,True,False,True,3
Chorozinho,2303956,Norte Cearense,20163,723.23,-4.302170914,-38.5012856667,False,False,False,True,1
Itatira,2306603,Norte Cearense,20424,602.54,-4.5289225623,-39.6179040159,True,False,False,True,2
